[2026-06-06T07:55:15.274961-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:15.321433-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:15.325053-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:31.720270-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:36.250436-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:36.261159-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:36.262148-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:36.262867-06:00] lfmcontrol.WARNING: Usuario o Password No Válido [] []
[2026-06-06T07:55:40.625485-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:40.632353-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:40.633586-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:40.634658-06:00] lfmcontrol.WARNING: Usuario o Password No Válido [] []
